run,optimiser,objective,best_metric_name,best_metric_value,best_score,evals,total_return,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,car_mdd_ratio,ulcer_index,max_drawdown
A_dehb_sharpe_b100,dehb(native),sharpe,Sharpe ratio,0.3268635142547431,-0.30686351425474306,100,2.9183268058887064,0.06677574808273068,0.3268635142547431,0.4629397836645995,0.5991693610239828,0.11824226945845595,0.1974889138283393,-0.5647366917817163
B_nevergrad_sortino_low_cost_b100,nevergrad(NGOpt),sortino,Sortino ratio,0.4531107249482148,-0.4331107249482148,100,2.8097461281273572,0.06535771379485489,0.3200221044667036,0.4531107249482148,0.5991693610239828,0.11573130406783831,0.19749287657272063,-0.5647366917817163
C_dehb_max_return_high_cost_b100,dehb(native),max_return,Total return,2.912461047197257,-2.892461047197257,100,2.912461047197257,0.06670010503108226,0.3265007398152257,0.4624242055882192,0.5991693610239828,0.11810832552892346,0.19748893071164406,-0.5647366917817163
D_dehb_max_return_dd20_b100,dehb(native),max_return_dd_cap,Total return (DD constrained),0.0,999.0,100,0.0,0.0,-999.0,-15.874507866387544,-999.0,-999.0,0.0,0.0
E_tpe_ulcer_b100,tpe(optuna),ulcer,Ulcer index,2.0531705358035164e-05,0.020020531705358037,100,0.003415728496445114,0.00016141363674337939,-17.549999920434516,-15.183717204934712,-999.0,0.1077346470545202,2.0531705358035164e-05,-0.0014982518730645156
F_dehb_composite_b100,dehb(native),composite,composite,,-0.8176879060086617,100,2.9183268058887064,0.06677574808273068,0.3268635142547431,0.4629397836645995,0.5991693610239828,0.11824226945845595,0.1974889138283393,-0.5647366917817163
G_tpe_cagr_low_cost_b100,tpe(optuna),cagr,CAGR,0.06652711455475013,-0.04652711455475013,100,2.8990778843792517,0.06652711455475013,0.3256862607708573,0.46123654103770445,0.5991693610239828,0.11780200493943538,0.19748889183991594,-0.5647366917817163
H_nevergrad_calmar_high_cost_b100,nevergrad(NGOpt),calmar,Calmar ratio,0.5991693610239828,-0.5791693610239828,100,2.5970358018576225,0.062464530008417674,0.3064742850377534,0.433928354352554,0.5991693610239828,0.11060823728549526,0.19747607399370054,-0.5647366917817163
I_indicator_subset,dehb(native),sharpe,Sharpe ratio,-0.0765993889658957,0.0965993889658957,100,-0.04583422266362247,-0.002218290768622344,-0.0765993889658957,-0.10956051739698579,-0.16500408397758942,-0.003782693066942477,0.33050467973903286,-0.5864316055691434
J_leverage2_dd20_with_borrow,dehb(native),max_return_dd_cap,Total return (DD constrained),0.0,999.0,100,0.0,0.0,-999.0,-15.874507866387548,-999.0,-999.0,0.0,0.0
